ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_OrigGreen,Intensity_IntegratedIntensity_OrigGreen,Intensity_LowerQuartileIntensity_OrigGreen,Intensity_MADIntensity_OrigGreen,Intensity_MassDisplacement_OrigGreen,Intensity_MaxIntensityEdge_OrigGreen,Intensity_MaxIntensity_OrigGreen,Intensity_MeanIntensityEdge_OrigGreen,Intensity_MeanIntensity_OrigGreen,Intensity_MedianIntensity_OrigGreen,Intensity_MinIntensityEdge_OrigGreen,Intensity_MinIntensity_OrigGreen,Intensity_StdIntensityEdge_OrigGreen,Intensity_StdIntensity_OrigGreen,Intensity_UpperQuartileIntensity_OrigGreen,Location_CenterMassIntensity_X_OrigGreen,Location_CenterMassIntensity_Y_OrigGreen,Location_CenterMassIntensity_Z_OrigGreen,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OrigGreen,Location_MaxIntensity_Y_OrigGreen,Location_MaxIntensity_Z_OrigGreen,Number_Object_Number,Parent_Nuclei
1,1,4.775335997343063,9.402930796146393,0.2837606966495514,0.013675212860107422,0.01873714999317048,0.2925519049167633,0.3301587402820587,0.28090211749076843,0.2938415873795748,0.29010990262031555,0.26056167483329773,0.26056167483329773,0.008333914516273131,0.017121600913005994,0.3067155182361603,738.3563952752281,192.62277626304854,0.0,738.375,192.625,0,737.0,193.0,0.0,1,1
1,2,6.793895214796066,16.431990683078766,0.32600733637809753,0.016605615615844727,0.011447247423120647,0.3384615480899811,0.40122100710868835,0.32351881975219365,0.3423331392308076,0.3384615480899811,0.311355322599411,0.311355322599411,0.007986796166919068,0.02135553868926241,0.3589743673801422,731.6115115391368,205.30371977665644,0.0,731.6041666666666,205.3125,0,731.0,205.0,0.0,2,1
1,3,4.926251769065857,11.660073727369308,0.2769230902194977,0.018437117338180542,0.03757862702756284,0.2967033088207245,0.3677655756473541,0.273680653836992,0.29897624941972584,0.29511600732803345,0.2549450695514679,0.2549450695514679,0.010132202571191497,0.030373808716206315,0.31489622592926025,783.676321517802,224.52571835340981,0.0,783.6410256410256,224.51282051282053,0,784.0,225.0,0.0,3,1
1,4,4.308913499116898,5.794383645057678,0.2827838957309723,0.007326006889343262,0.004731286373962945,0.30012211203575134,0.30109891295433044,0.2872608999411265,0.2897191822528839,0.2925519049167633,0.2735042870044708,0.2735042870044708,0.00749535158023519,0.00798628094194459,0.2974359095096588,736.4545684418766,235.10123061349444,0.0,736.45,235.1,0,739.0,236.0,0.0,4,1
1,5,8.454701215028763,29.89694830775261,0.29706960916519165,0.0387057363986969,0.09675511820318763,0.32503053545951843,0.4434676468372345,0.2915414212078884,0.34364308399715643,0.33186814188957214,0.2735042870044708,0.2735042870044708,0.012777309113797295,0.050342287809115975,0.3896214962005615,801.646355415639,238.8964779348759,0.0,801.7241379310345,238.95402298850576,0,799.0,238.0,0.0,5,1
1,6,5.772405624389648,14.95335829257965,0.29010990262031555,0.01807081699371338,0.025185277548971007,0.3125763237476349,0.371184378862381,0.2886202812194824,0.3115282977620761,0.3086691200733185,0.2715506851673126,0.2715506851673126,0.008857401876525717,0.025913188513810696,0.32600733637809753,746.5894111128856,241.20875657509816,0.0,746.6041666666666,241.22916666666666,0,746.0,241.0,0.0,6,1
1,7,6.018559485673904,14.892308235168457,0.2886447012424469,0.021489620208740234,0.022857173209563555,0.3186813294887543,0.3680097758769989,0.2865980707463764,0.3102564215660095,0.30695971846580505,0.2598290741443634,0.2598290741443634,0.013642879610730142,0.028268747687168548,0.33162394165992737,724.3744752742541,241.77897481228368,0.0,724.3958333333334,241.77083333333334,0,725.0,242.0,0.0,7,1
1,8,6.29499414563179,18.802198380231857,0.3036019653081894,0.023565322160720825,0.03198570796974592,0.31672772765159607,0.4129426181316376,0.2997616259824662,0.32986312947775187,0.323321133852005,0.2778998911380768,0.2778998911380768,0.00938840782627576,0.03251398785556004,0.3578754663467407,840.9698811606654,256.8982271604624,0.0,840.9649122807018,256.9298245614035,0,841.0,256.0,0.0,8,1
1,9,6.645177379250526,24.565812692046165,0.27814409136772156,0.053235650062561035,0.025042824546839596,0.28424909710884094,0.48058608174324036,0.26580709517002105,0.33197044178440765,0.3184371292591095,0.24639804661273956,0.24639804661273956,0.011443823052711617,0.06603829672079899,0.3808302879333496,853.4844279612812,257.3262522709166,0.0,853.4594594594595,257.3243243243243,0,854.0,258.0,0.0,9,1
1,10,5.726495996117592,15.607082471251488,0.2616605758666992,0.018315017223358154,0.05202548787177704,0.2759462893009186,0.33894994854927063,0.26029527255079965,0.28376513584093616,0.27924299240112305,0.24542124569416046,0.24542124569416046,0.007138578980273714,0.0246402978980955,0.30195361375808716,734.2180062906399,259.07020700994866,0.0,734.2181818181818,259.0181818181818,0,735.0,260.0,0.0,10,1
